license,name,municipality,county,county_source,address,city,zip,lat,lon,status
240701523,Times Past 2.0 LLC,Bloomington,McLean,igb_licensee_list,1216 Towanda Ave.,Bloomington,61701,,,needs_coordinates
120706070,Tina Wieneke,Fieldon,Jersey,igb_licensee_list,111 West Locust St.,Fieldon,62031,,,needs_coordinates
130703801,"TINA'S TAVERN, INC.",Clinton County,Clinton,igb_licensee_list,301 Main St,Pocahontas,62275,,,needs_coordinates
190703547,TINLEY BEEF LLC,Tinley Park,Will,igb_licensee_list,7301 W. 183RD STREET Unit A & B,Tinley Park,60477,,,needs_coordinates
140702076,"Tinley Park Bowling Lanes, Inc.",Tinley Park,Will,igb_licensee_list,7601 W. 183rd Street,Tinley Park,60477,,,needs_coordinates
160704022,"Tipsy Enterprises, Inc.",Rantoul,Champaign,igb_licensee_list,114 E. Congress,Rantoul,61866,,,needs_coordinates
170701153,"Tipsy Enterprises, Inc.",Rantoul,Champaign,igb_licensee_list,215 S. Tanner Street,Rantoul,61866,,,needs_coordinates
120702056,"TIPSY, LLC",Dixon,Lee,igb_licensee_list,79 SOUTH HENNEPIN,Dixon,61021,,,needs_coordinates
150700640,TK Entertainment Company,Carpentersville,Kane,igb_licensee_list,8050 Binnie Road,Carpentersville,60110,,,needs_coordinates
210703628,"TK Tavern, Inc.",Buffalo Grove,Lake,igb_licensee_list,2710 N. Main Street,Buffalo Grove,60089,,,needs_coordinates
180701446,"TLB ENTERPRISES, INC.",Shorewood,Will,igb_licensee_list,716 Cottage St.,Shorewood,60431,,,needs_coordinates
170704284,"TMM - MINNIHAN'S, INC.",Hampshire,Kane,igb_licensee_list,1000 S STATE ST,Hampshire,60140,,,needs_coordinates
240702365,TNS CORPORATION,Lakemoor,Lake,igb_licensee_list,31667 N. U.S. ROUTE 12,Lakemoor,60073,,,needs_coordinates
130706621,"Tobin-Nanninga Detachment, Marine Corps League, Inc.",Tazewell County,Tazewell,igb_licensee_list,13370 Garman Rd.,Pekin,61554,,,needs_coordinates
200701430,"TOM DEMO - CRESTWOOD, INC.",Crestwood,Cook,verified_city_lookup,,,,,,needs_address_and_coordinates
190701952,"TOM DEMO, INC.",Oak Lawn,Cook,verified_city_lookup,,,,,,needs_address_and_coordinates
120700636,"Tom's Carryout, Inc.",Lyons,Cook,igb_licensee_list,3840 S. Harlem Ave.,Lyons,60534,,,needs_coordinates
230702307,"TOMAR, LLC",Roscoe,Winnebago,igb_licensee_list,11607 MAIN ST UNIT B,Roscoe,61073,,,needs_coordinates
220703026,Toni's Gaming Inc.,Divernon,Sangamon,igb_licensee_list,379 W State Route 104 Suite B,Divernon,62530,,,needs_coordinates
140701097,"Tony Spavone Ristorante, Inc.",Bloomingdale,DuPage,verified_city_lookup,,,,,,needs_address_and_coordinates
130702680,"TONY V'S II, INC.",McHenry County,McHenry,igb_licensee_list,6506 SILVER LAKE RD,Cary,60013,,,needs_coordinates
200702682,TONY'S BUTT SHACK BBQ LLC,Hollowayville,,,,,,,,needs_address_and_coordinates
220700185,"TONY'S PIZZA OF BEECHER, INC.",Beecher,Will,igb_licensee_list,1111 DIXIE HIGHWAY Unit 204,Beecher,60401,,,needs_coordinates
120703188,"TONY'S PIZZA OF PEOTONE, INCORPORATED",Peotone,Will,igb_licensee_list,315 N HARLEM AVENUE,Peotone,60468,,,needs_coordinates
200700003,Tony's West Ninth Inc.,Alton,Madison,igb_licensee_list,102 W. 9th Street Ste 105,Alton,62002,,,needs_coordinates
230701138,Top Shelf Liquor and Gaming LLC,Litchfield,,,,,,,,needs_address_and_coordinates
150701534,Toplay LLC,Montgomery,Kane,igb_licensee_list,1690 Orchard Road,Montgomery,60538,,,needs_coordinates
210700706,TOPPER LLC,Iroquois County,Iroquois,igb_licensee_list,1898 N STATE ROUTE 1,Watseka,60970,,,needs_coordinates
250700364,"TORRENCE LIQUORS CORP.,",Lansing,Cook,igb_licensee_list,16960 Torrence Ave,Lansing,60438,,,needs_coordinates
120710896,"Toulon Tap, LLC",Toulon,Stark,igb_licensee_list,110 N. Washington,Toulon,61483,,,needs_coordinates
120712260,"TOWER OF PIZZA, INC.",Quincy,Adams,igb_licensee_list,2635 BROADWAY,Quincy,62301,,,needs_coordinates
150703749,TPC Longshots Inc.,Joliet,Will,igb_licensee_list,1609 W. Jefferson,Joliet,60435,,,needs_coordinates
120711742,"TR RESTAURANT GROUP, INC.",Rockford,,,,,,,,needs_address_and_coordinates
250701675,Tracey Cross,Johnson County,Johnson,igb_licensee_list,4460 State Rt 146 West,Vienna,62995,,,needs_coordinates
140701764,Tracy's Supper-Club Inc.,Norris,,,,,,,,needs_address_and_coordinates
230703174,Trademark Events LLC,Woodstock,McHenry,igb_licensee_list,240 N Throop St. Suite A & B,Woodstock,60098,,,needs_coordinates
200702029,Treasure Island Gaming Incorporated,Mount Sterling,Brown,igb_licensee_list,"501 Pittsfield Road, Suite B",Mount Sterling,62353,,,needs_coordinates
120905359,Tremont Post #1236 The American Legion,Tazewell County,Tazewell,igb_licensee_list,24584 E. Lake Windermere,Tremont,61568,,,needs_coordinates
160700781,TRI-COUNTY ROD AND GUN CLUB,Jersey County,Jersey,igb_licensee_list,20593 Gun Club Rd,Brighton,62012,,,needs_coordinates
170701165,"Tri-State Investors Group, LLC",Edinburg,Christian,igb_licensee_list,215 A S. Troxell St.,Edinburg,62531,,,needs_coordinates
